,pclass,survived,age,sibsp,parch,fare,sex_male,embarked_Q,embarked_S
5,1.0,1.0,1.4338266584529786,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,1,0,1
7,1.0,0.0,0.7361693259713321,-0.47908676070718687,-0.444999501816175,-0.6434642498641783,1,0,1
8,1.0,1.0,1.8214140653872266,1.4416623044251486,-0.444999501816175,0.35184657539009684,0,0,1
15,1.0,0.0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,-0.14222427051879058,1,0,1
22,1.0,1.0,-0.27155793205771295,-0.47908676070718687,-0.444999501816175,-0.06343727280104884,1,0,0
25,1.0,0.0,-0.34907541344456255,-0.47908676070718687,-0.444999501816175,-0.14077420307613278,1,0,0
29,1.0,1.0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,1,0,1
30,1.0,0.0,1.2012742142924298,-0.47908676070718687,-0.444999501816175,0.042901006327191564,1,0,1
31,1.0,1.0,0.8136868073581817,-0.47908676070718687,-0.444999501816175,-0.04410304023227786,1,0,0
34,1.0,0.0,0.9687217701318809,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,1,0,1
37,1.0,1.0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,1,0,1
38,1.0,0.0,0.8912042887450313,-0.47908676070718687,-0.444999501816175,-0.05377015651666335,1,0,1
39,1.0,0.0,1.4338266584529786,-0.47908676070718687,-0.444999501816175,0.3328332910819675,1,0,0
40,1.0,0.0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,0.12217135985915262,1,0,0
41,1.0,1.0,1.1237567329055802,-0.47908676070718687,-0.444999501816175,-0.10750385567179166,0,0,0
45,1.0,0.0,1.2012742142924298,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,1,0,1
46,1.0,0.0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,-0.04410304023227786,1,0,1
47,1.0,1.0,0.9687217701318809,-0.47908676070718687,-0.444999501816175,-0.13521561121261108,1,0,1
48,1.0,1.0,1.8214140653872266,-0.47908676070718687,-0.444999501816175,-0.11282076962820371,0,0,0
51,1.0,0.0,0.27106443765023436,-0.47908676070718687,-0.444999501816175,-0.5467930870203234,1,0,1
52,1.0,0.0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,0.267178104124935,1,0,1
53,1.0,0.0,-0.9692152645393595,-0.47908676070718687,-0.444999501816175,0.267178104124935,1,0,1
58,1.0,0.0,1.5113441398398282,-0.47908676070718687,-0.444999501816175,-0.14077420307613278,1,0,1
59,1.0,1.0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,-0.10750385567179166,0,0,0
62,1.0,0.0,1.2787916956792793,0.481287771858981,-0.444999501816175,0.5393074275303865,1,0,1
63,1.0,1.0,1.356309177066129,0.481287771858981,-0.444999501816175,0.5393074275303865,0,0,1
64,1.0,1.0,-0.1940404506708633,0.481287771858981,-0.444999501816175,0.38318349953756087,1,0,1
65,1.0,1.0,0.27106443765023436,0.481287771858981,-0.444999501816175,0.38318349953756087,0,0,1
68,1.0,1.0,1.2012742142924298,-0.47908676070718687,-0.444999501816175,-0.06923754257168015,1,0,0
70,1.0,0.0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,-0.6434642498641783,1,0,1
74,1.0,0.0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,0.36191584371191277,1,0,1
75,1.0,0.0,1.356309177066129,-0.47908676070718687,-0.444999501816175,-0.14874957401075084,1,0,1
